Data Type,True Values,Mean Predictions,
Test,5.13,3.1107999999999993,0.513
Test,5.82,10.172776785714277,0.582
Test,10.15,7.495,1.015
Test,17.91,20.80320000000003,1.791
Test,17.18,16.027499999999993,1.718
Test,2.62,2.8127999999999984,0.262
Test,9.26,10.568299999999986,0.926
Test,10.38,10.521800000000011,1.038
Test,4.42,3.8256999999999963,0.442
Test,8.28,6.1060000000000025,0.828
Test,5.85,7.527699999999994,0.585
Test,1.33,2.579200000000002,0.133
Test,6.6,6.831190476190487,0.66
Test,8.69,7.269149999999994,0.869
Test,5.17,4.659399999999999,0.517
Test,11.55,12.913400000000006,1.155
Test,3.5,3.235899999999997,0.35
Test,19,18.034799999999983,1.9
Test,4.6,5.542100000000006,0.46
Test,5.5,5.9837,0.55
Test,8.69,18.24119999999999,0.869
Test,0.7,0.7303999999999996,0.07
Test,6.06,7.267325000000004,0.606
Test,13.57,16.254900000000013,1.357
Test,10.8,10.558999999999992,1.08
Test,9.58,8.82780000000001,0.958
Test,13,12.263700000000002,1.3
Test,8.6,7.1535333333333435,0.86
Test,13.61,13.133499999999996,1.361
Test,1.46,1.5903999999999987,0.146
Test,4.2,5.58845,0.42
Test,7.43,7.366600000000009,0.743
Test,10.25,14.6532,1.025
Test,8.3,6.757199999999999,0.83
Test,4.97,5.539099999999998,0.497
Test,4,7.1535333333333435,0.4
Test,7.13,8.580662499999994,0.713
Test,15.63,15.477200000000009,1.563
Test,3.59,4.020699999999997,0.359
Test,1.48,1.4928999999999981,0.148
Test,4.4,4.972842857142851,0.44
Test,20.52,18.413599999999988,2.052
Test,12.8,12.005999999999998,1.28
Test,3.42,3.709099999999998,0.342
Test,12.6,10.477000000000007,1.26
Test,19.62,21.79979999999999,1.962
Test,8,6.604699999999995,0.8
Test,2.8,4.282199999999996,0.28
Test,11.6,12.192100000000007,1.16
Test,15,12.021700000000008,1.5
Test,0,7.667862499999996,0
Test,6.74,5.555399999999993,0.674
Test,10.09,14.450899999999999,1.009
Test,15.5,13.302200000000001,1.55
Test,6.3,9.220000000000013,0.63
Test,1.71,2.252099999999998,0.171
Test,12.58,11.285400000000006,1.258
Test,12.9,12.4634,1.29
Test,1.48,2.164108333333335,0.148
Test,10.3,10.9802,1.03
Test,9.27,8.185700000000002,0.927
Test,7.9,7.486999999999998,0.79
Test,5,6.620800000000003,0.5
Test,4.13,6.759500000000002,0.413
Test,0.59,0.9977750000000003,0.059
Test,2.39,1.7428999999999955,0.239
Test,5.5,9.2339,0.55
Test,12.56,13.831199999999997,1.256
Test,7.92,7.748199999999988,0.792
Test,1.9,2.7285999999999984,0.19
Test,0.72,1.8221916666666655,0.072
Test,13.3,12.749700000000004,1.33
Test,20.65,20.461299999999984,2.065
Test,3.3,3.4758999999999993,0.33
Test,7.75,7.761800000000003,0.775
Test,17.36,16.30329999999999,1.736
Test,6.4,6.156499999999998,0.64
Test,4.3,5.419000000000004,0.43
Test,32.74,29.531500000000033,3.274
Test,12.55,11.183700000000005,1.255
Test,13.3,12.740100000000009,1.33
Test,4.12,3.769799999999996,0.412
Test,2.7,7.644300000000002,0.27
Test,5.38,10.749199999999998,0.538
Test,9.3,10.560499999999996,0.93
